Time (sec),latitude(deg),longitude(deg),X (m),Y (m),height(m),sdn(m),sde(m),sdu(m),Vn(km/h),Vn (m/s),Ve(km/h),Ve(m/s),Vd(km/h),Vu(m/s)
156,45.96110582,-66.62689191,683882.265,5092464.37,-17.4165,4.6759,3.2794,8.4109,-0.018,-0.005,-0.087,-0.024166667,-0.007,0.001944444
157,45.96110539,-66.62689134,683882.3106,5092464.323,-17.343,4.6765,3.2792,8.4105,-0.022,-0.006111111,-0.089,-0.024722222,-0.006,0.001666667
158,45.96110458,-66.62689245,683882.2273,5092464.231,-17.3556,4.6772,3.2791,8.41,-0.024,-0.006666667,-0.088,-0.024444444,-0.008,0.002222222
159,45.96110573,-66.6268937,683882.1266,5092464.355,-17.7164,4.6778,3.279,8.4095,-0.024,-0.006666667,-0.088,-0.024444444,-0.008,0.002222222
160,45.96110626,-66.62689307,683882.1737,5092464.416,-17.9205,4.6785,3.2788,8.4091,-0.023,-0.006388889,-0.087,-0.024166667,-0.008,0.002222222
161,45.9611055,-66.62689272,683882.2033,5092464.332,-17.932,4.6792,3.2787,8.4086,-0.02,-0.005555556,-0.084,-0.023333333,-0.009,0.0025
162,45.96110516,-66.62689263,683882.2114,5092464.295,-17.7768,4.6798,3.2785,8.4081,-0.017,-0.004722222,-0.081,-0.0225,-0.009,0.0025
163,45.96110598,-66.6268909,683882.3427,5092464.39,-17.8569,4.6805,3.2784,8.4077,-0.013,-0.003611111,-0.078,-0.021666667,-0.009,0.0025
164,45.96110648,-66.62689167,683882.2814,5092464.443,-17.6235,4.6811,3.2782,8.4072,-0.005,-0.001388889,-0.074,-0.020555556,-0.009,0.0025
165,45.9611061,-66.62689172,683882.2788,5092464.401,-17.483,4.6818,3.2781,8.4067,0.003,0.000833333,-0.067,-0.018611111,-0.01,0.002777778
166,45.96110686,-66.62689077,683882.3499,5092464.488,-17.4339,4.6824,3.2779,8.4063,0.012,0.003333333,-0.062,-0.017222222,-0.01,0.002777778
167,45.96110594,-66.62689013,683882.4025,5092464.387,-17.5606,4.6831,3.2778,8.4058,0.021,0.005833333,-0.055,-0.015277778,-0.01,0.002777778
